Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Pristyn Care,2018,Gurugram,Health,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",11000000.0,Unknown Stage
WoodenStreet,2015,Rajastan,Services,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund",1000000.0,Unknown Stage
ACKO,2016,Mumbai,Finance,Acko General Insurance is a private sector general insurance company in India.,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures",60000000.0,Unknown Stage
Farmers Fresh Zone,2015,Kochi,Agriculture,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",470000.0,Unknown Stage
Invento,2016,Bangalore,Technology,Invento Robotics specializes in developing service robots intended for customer interactions.,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",3000000.0,Unknown Stage
Infurnia,2014,Bangalore,Technology,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures",240000.0,Unknown Stage
AnalytIQSports's SuperCric,2019,Bangalore,Media & Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",unknown,3000000.0,Unknown Stage
Snowflake,2012,California,Technology,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group",3000000000.0,Unknown Stage
GenieTalk,2016,Indore,Technology,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",unknown,750000.0,Unknown Stage
Classplus,2018,Noida,Education,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",10000000.0,Unknown Stage
Mobile Premier League,2018,Bangalore,Media & Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet",74000000.0,Unknown Stage
Fourth Partner Energy,2010,Hyderabad,Engineering,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)",16000000.0,Unknown Stage
Flipkart,2007,Bangalore,E-commerce,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart",62000000.0,Unknown Stage
Vivriti Capital,2017,Chennai,Finance,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC",1000000.0,Unknown Stage
InsuranceDekho,2017,Ludhiana,Finance,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,GirnarSoft,20000000.0,Unknown Stage
BestDoc,2016,Kochi,Health,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi",unknown,2100000.0,Unknown Stage
Byju’s,2011,Bangalore,Education,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000.0,Unknown Stage
Melorra,2015,Bangalore,Lifestyle,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings",12500000.0,Unknown Stage
Reliance,1973,Mumbai,Services,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake",2200000000.0,Unknown Stage
Inflexor Ventures,2020,Mumbai,Finance,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",unknown,10000000.0,Unknown Stage
Pandorum,2011,Bangalore,Technology,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0,Unknown Stage
SpeakIn,2018,Noida,Retail,"AI-enabled network of speakers and thought leaders, aka. experts",Deepshikha Kumar,Homage Ventures.,3000000.0,Unknown Stage
LetsUp,2015,Mumbai,Media & Entertainment,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",Suhas raikar,unknown,3000000.0,Unknown Stage
Newsreach,2018,Gujarat,Media & Entertainment,NewsReach India offers partner publications a digital footprint,"Darshan Shah, Soniya Kundnani",Mumbai Angels,3000000.0,Unknown Stage
Dream11,2008,Mumbai,Media & Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings",225000000.0,Unknown Stage
SignalX,2018,Hyderabad,Technology,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran,unknown,750000.0,Unknown Stage
JetSynthesys,2012,Mumbai,Technology,Gaming and entertainment startup,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan",40000000.0,Unknown Stage
Vesta Space Technology,2018,Pune,Technology,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban,unknown,10000000.0,Unknown Stage
Dozee,2015,Bangalore,Health,Dozee offers health and wellness monitoring products.,Gaurav Parchani,unknown,1600000.0,Unknown Stage
Rebel Foods,2011,Pune,Food and Beverages,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin","Jaydeep Barman, Kallol Banerjee",Coatue Management,50000000.0,Unknown Stage
Nykaa,2012,Mumbai,Lifestyle,Cosmetics & beauty products online,Falguni Nayar,Steadview Capital,24700000.0,Unknown Stage
Ketto,2012,Mumbai,Finance,"Crowdfunding, Charity, E-commerce","Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital",7700000.0,Unknown Stage
Suryoday,2008,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",800000.0,Unknown Stage
SucSEED,2016,Hyderabad,Finance,Venture Partners,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal",1300000.0,Unknown Stage
Unacademy,2015,Bangalore,Education,Unacademy is an Indian online education technology company,"Gaurav Munjal, ?Roman Saini?","Nexus Venture Partners, Sequoia Capital",150000000.0,Unknown Stage
Strata,2019,Bangalore,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore","Propstack, SAIF Partners",19067328.0,Unknown Stage
3one4 Capital,2016,Bangalore,Finance,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",unknown,100000000.0,Unknown Stage
WE-Hub,2018,Hyderabad,Services,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,Deepthi Ravula,unknown,3000000.0,Unknown Stage
Zomato,2008,Haryana,Transportation & Logistics,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",62000000.0,Unknown Stage
Vicara,2017,Bangalore,Technology,A deep tech startup pioneering in motion-based interfaces and insights.,"Abhishek Satish, Adarsh Warrier",unknown,3000000.0,Unknown Stage
Gaana,2010,Gurugram,Media & Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,Pawan Agarwal,"Tencent Holdings, Times Internet",51000000.0,Unknown Stage
EM3 Agri,2013,Noida,Agriculture,A pioneering organization in the farming-as-a service (FaaS) space,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund",1000000.0,Unknown Stage
Plum,2013,Thane,Manufacturing,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Shankar Prasad,"Ronald Conway, Bay Partners",115000.0,Unknown Stage
Odwen,2018,Noida,Real Estate,India's first do-it-yourself warehouse management system.,Vijay Anand Bhagavatula,Prospect Partners.,54000.0,Unknown Stage
Fasal,2018,Bangalore,Agriculture,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI",20000.0,Unknown Stage
Trukky,2015,Ahmedabad,Transportation & Logistics,"Transportation, logistics services & cargo services.","Saswat Sahu, Rishi Raj",Mumbai Angels.,3000000.0,Unknown Stage
BankBazaar,2008,Chennai,Finance,Check your latest Credit Score and get your Credit Report online in India for Free,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon",9000000.0,Unknown Stage
Specsmakers,2011,Chennai,Health,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Pratik Shah,Eight Roads Ventures,3000000.0,Unknown Stage
Grinntech,2013,Dehradun,Engineering,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan",2000000.0,Unknown Stage
CreditMantri,2012,Chennai,E-commerce,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,Unknown Stage
Chai Waale,2018,Chennai,Food and Beverages,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0,Unknown Stage
Deepsync,2018,Bangalore,Technology,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,300000.0,Unknown Stage
Byju’s,2011,Bangalore,Education,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000.0,Unknown Stage
ConnectedH,2016,Gurgaon,Health,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",unknown,3000000.0,Unknown Stage
Reliance Retail,2006,Mumbai,E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,10220000.0,Unknown Stage
QShala,2014,Bangalore,Education,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",unknown,300000.0,Unknown Stage
Pitstop,2015,Bangalore,Services,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence",1020000.0,Unknown Stage
Zomato,2008,Haryana,Transportation & Logistics,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",100000000.0,Unknown Stage
Customfit ai,2019,Bangalore,Technology,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",unknown,3000000.0,Unknown Stage
Nirmata,2013,San Francisco,Technology,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",3000000.0,Unknown Stage
Hire Me Car,2015,Noida,Lifestyle,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,3000000.0,Seed
Oga Fit,2017,Bangalore,Technology,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",3000000.0,Pre-Series
ShipsKart,2018,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Pre-Series
SquadStack,2014,San Francisco,Technology,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures",5000000.0,Series A
Financepeer,2017,Mumbai,Education,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",3000000.0,Pre-Series
Cashify,2009,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",10000000.0,Debt Financing
Etrio,2017,Hyderabad,Technology,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,3000000.0,Series A
Codeyoung,2019,Bangalore,Education,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,3000000.0,Seed
StayQrious,2020,Bangalore,Education,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,2000000.0,Seed
Sunstone Eduversity,2014,Gurugram,Education,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,3000000.0,Series A
Infilect,2015,Bangalore,Technology,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd",1500000.0,Pre-Series
MobiGarage,2017,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,"Vaibhav Kapoor, Pulkit Kapoor",unknown,3000000.0,Pre-Series
Samunnati,2014,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel",20000000.0,Debt Financing
WeInnovate Biosolutions,2016,Pune,Health,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,3000000.0,Seed
Yummy Corp,2017,Tangerang,Food and Beverages,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Mario Suntanu,"Palm Drive Capital, Amatil X Ventures",12000000.0,Series B
Smallcase,2015,Bangalore,Finance,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",13400000.0,Series B
Clairvolex,2006,California,Technology,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners",2000000.0,Debt Financing
